Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Paraburkholderia megapolitana
Streptomyces microflavus
Micromonospora mangrovi
Desulforamulus profundi
Marinilongibacter aquaticus
Hymenobacter armeniacus
Neolamprologus brichardi
Pseudodiscina melaleucoides
Quedius lateralis
Sardinella fimbriata
Xenus cinereus
Cladosporium endophyticum
Ferrisia virgata
Bifidobacterium aemilianum
Candidatus Atelocyanobacterium thalassa isolate ALOHA
Nesterenkonia aethiopica
Rheinheimera riviphila
Enterobacillus tribolii
Leptodactylus fallax
Mysoria ambigua
Pseudocercospora fuligena
Microbacterium ginsengisoli
Candidatus Epulonipiscium viviparus
Alicycliphilus denitrificans K601
Autumnicola patrickiae
Leucobacter chromiireducens subsp. solipictus
Hephaestus fuliginosus
Pseudomonas idahonensis
Ktedonospora formicarum
Cordyceps cicadae
Salegentibacter maritimus
Aliirhizobium smilacinae
Tellurirhabdus bombi
Agriterribacter humi
Kaistella gelatinilytica
Trapa natans
Rhizobium mongolense subsp. loessense
Trichlorobacter ammonificans
Udranomia eurus
Yamadazyma paraphyllophila
Halalkalibacter lacteus
Boletus nobilissimus
Hoyosella altamirensis
Aquimarina acroporae
Pseudarthrobacter equi
Soonwooa buanensis
Dactylella cylindrospora
Lutibacter litoralis
Flavobacterium aquicola
Flavisolibacter ginsengisoli DSM 18119
Candidatus Magnetobacterium casense
Leucobacter tenebrionis
Saccharomyces cerevisiae x Saccharomyces eubayanus x Saccharomyces uvarum
Adhaeribacter arboris
Sebastes umbrosus
Tromatobia lineatoria
Prauserella sediminis
Dactylobotrys graminicola
Paenibacillus oralis
Crambe crambe
Oceanibium sediminis
Escherichia whittamii
Malaya genurostris
Brachymeria lasus
Fibrella aquatilis
Cepaea hortensis
Eriocaulon aquaticum
Agriphila inquinatella
Cathartes aura
Avibacterium volantium
Chungangia koreensis
Microbacterium limosum
Eurytemora carolleeae
Sanghuangporus lonicericola
Acropora spathulata
Hymenoscyphus linearis
Accipiter nisus
Lactococcus nasutitermitis
Microtritia minima
Erythrobacter longus
Cohnella boryungensis
Ideonella paludis
Triaenodes bicolor
Colletotrichum eremochloae
Roseateles caseinilyticus
Polymixis lichenea
Trifolium repens
Dictyostelium citrinum
Reticulomyxa filosa
Streptococcus dysgalactiae
Streptomyces coeruleorubidus
Bryocella elongata
Zygosaccharomyces siamensis
Tindallia magadiensis
Breznakia blatticola
Sclerotinia sulcata
Amycolatopsis mongoliensis
Fervidobacterium gondwanense DSM 13020
Biscutella auriculata
Larkinella knui
Mycobacteroides salmoniphilum
Zygosaccharomyces gambellarensis
Lactiplantibacillus plantarum
Nucifraga caryocatactes
Dyadobacter helix
Shewanella seohaensis
Saprolegnia parasitica CBS 223.65
Solanum rostratum
Natrinema ejinorense
Wolbachia endosymbiont (group A) of Hedychridium roseum
Campaea margaritaria
Furfurilactobacillus siliginis
Urtica urens
Hymenobacter glacieicola
Pseudophryne corroboree
Flavobacterium proteolyticum
Shouchella shacheensis
Anaerophaga thermohalophila DSM 12881
Citrobacter arsenatis
Nyctibius grandis
Metamycoplasma neophronis
Cohnella faecalis
Vireo carmioli
Shimia gijangensis
Castanea dentata
Methanosarcina thermophila TM-1
Wolbachia endosymbiont (group B) of Camptogramma bilineatum
Anaerovirgula multivorans
Plantactinospora veratri
Roseovarius tolerans
Keratinibaculum paraultunense
Collimonas antrihumi
Porphyromonas levii
Pseudomonas lundensis
Corynebacterium ulcerans 809
Microdochium trichocladiopsis
Sphingobium nicotianae
Ectemnius lituratus
Arthrobacter bambusae
Troglopedetes dispersus
Cladophialophora brunneola
Qipengyuania seohaensis
Mesotaenium endlicherianum
[Candida] michaelii
Plantago ovata
Streptococcus infantarius
Ascoidea asiatica
Streptomyces vinaceusdrappus
Natrialba aegyptia DSM 13077
Sphingomonas lacusdianchii
Arthrobotrys sinensis
Corynebacterium gallinarum
Coryphopterus urospilus
Colobus guereza
Dyella koreensis
Megachile rotundata
Drosophila eohydei
Tardiomyces depauwii (nom. inval.)
Toxostoma rufum
Moorella mulderi DSM 14980
Streptomyces aculeolatus
Mucilaginibacter mali
Chryseobacterium taiwanense
Microchirus variegatus
Meyerozyma smithsonii
Bathydraco marri
Lipomyces arxii
Reichenbachiella versicolor
Weissella muntiaci
Bifidobacterium criceti
Corynebacterium halotolerans YIM 70093 = DSM 44683
Ectothiorhodospira shaposhnikovii
Vernicia montana
Dircenna loreta
Winogradskyella poriferorum
Elongisporangium undulatum
Somateria mollissima
Candidatus Terasakiella magnetica
Bombilactobacillus apium
Coxiella endosymbiont of Amblyomma nuttalli
Spilosoma urticae
Cathorops dasycephalus
Fusarium bactridioides
Marinobacter caseinilyticus
Paracholeplasma brassicae
Candidatus Cyrtobacter comes
Anopheles coustani
Streptomyces cinnabarinus
Brumimicrobium oceani
Canariomyces subthermophilus
Castellaniella caeni NBRC 101664
Malassezia slooffiae
Microcoleus asticus IPMA8
Fundulus grandis
Muribaculum caecicola
Bifidobacterium canis
Pseudomonas extremorientalis
Streptococcus cuniculi
Streptomonospora litoralis
Candidatus Cytomitobacter indipagum
Oceanobacillus massiliensis str. N'diop
Xenorhabdus poinarii G6
Frateuria defendens
Stenchaetothrips biformis
Emberiza hortulana
Ramularia coccinea
Frankliniella occidentalis
Penicillium lividum
Marinobacterium profundum
Protelbella ruficauda
Prunus armeniaca
Brevundimonas olei
Alternaria arbusti
Microdrosophila cristata
Triticum turgidum subsp. durum
Aurivittia aurivittata
Dryococelus australis
Rhabdastrella globostellata
Platyedra subcinerea
Stutzerimonas kirkiae
Winogradskyella marincola
Corymbia citriodora subsp. variegata
Huntiella omanensis
Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488
Microlunatus kandeliicorticis
Rickettsia endosymbiont of Ceutorhynchus assimilis
Stiphrornis xanthogaster
Oikopleura dioica
Zygotorulaspora florentina
Huntiella fecunda
Balanococcus diminutus
Kosakonia calanthes
Aquella oligotrophica
Colotis evagore
Litoreibacter halocynthiae
Pontinus rathbuni
Altericroceibacterium xinjiangense
Ernsta colotes
Shouchella lonarensis
Streptomyces ardesiacus
Hephaestia caeni
Cyanoramphus novaezelandiae
Streptomyces salinarius
Melanogaster broomeanus
Milvus lineatus
Fragaria nubicola
Uromys caudimaculatus
Citrus australasica
Paucilactobacillus wasatchensis
Polynucleobacter bastaniensis
Scinax boesemani
Lasiodiplodia citricola
Sebastes paucispinis
Domibacillus iocasae
Pleiochaeta setosa
Diadophis punctatus similis
Borrelia hispanica CRI
Litoribrevibacter albus
Pseudomonas laurylsulfatiphila
Flaveria floridana
Hymenobacter sedentarius
Phylidonyris novaehollandiae
Halomonas icarae
Tipula lateralis
Ursus thibetanus thibetanus
Nelusetta ayraudi
[Candida] berthetii
Gluconacetobacter johannae DSM 13595
Flavobacterium pokkalii
Meruliopsis variegata
Dioszegia crocea
[Candida] patagonica (nom. inval.)
Glossina palpalis gambiensis
Pontibacter harenae
Synchiropus picturatus
Mesorhizobium soli
Carbonactinospora thermoautotrophica
Nocardia ninae NBRC 108245
Colletotrichum orbiculare MAFF 240422
Saprospira grandis str. Lewin
Gyromitra mcknightii
Croceicoccus marinus
Phenacogrammus urotaenia
Dictyostelium intermedium
Aproaerema taeniolella
[Candida] gorgasii
Agrococcus jejuensis
Levilactobacillus zymae
Kitasatospora acidiphila
Plasmodium cynomolgi strain B
Pseudomonas shirazensis
Metschnikowia dekortorum
Haloplanus rubicundus
Zangia roseola
Jeotgalicoccus aerolatus
Rhodophaea formosa
Malbranchea cinnamomea
Castanopsis eyrei
Pontibacter rugosus
Agriphila straminella
Drosophila cardini
Brachionus manjavacas
Epilithonimonas hominis
Jeotgalicoccus psychrophilus DSM 19085
Marinomonas profundi
Niallia circulans
Mycolicibacterium parafortuitum
Saccharomonospora piscinae
Chaenogobius annularis
Secundilactobacillus pentosiphilus
Nocardiopsis sinuspersici
Psilocybe maluti
Sphingobacterium pedocola
Pontibaca salina
Cinchona calisaya
Veronica triphyllos
Actinomyces lilanjuaniae
Wolbachia endosymbiont of Pentidionis agamae
Kangiella shandongensis
Melitaea nevadensis
Ostrea edulis
Urochloa decumbens
Natronoflexus pectinivorans
Chelidonichthys spinosus
Aspergillus sclerotiicarbonarius CBS 121057
Acidihalobacter yilgarnensis
Myroides albus
Corynebacterium sphenisci DSM 44792
Piscirickettsia litoralis
Streptococcus castoreus DSM 17536
Botrytis sinoallii
Clostridium neuense
Kappaphycus alvarezii
Filosporella fistucella
Rondeletia loricata
Lycoriella ingenua
Deinococcus humi
Hallella absiana
Saccharomycopsis synnaedendra
Clarireedia monteithiana
Sclerotinia subarctica
Veillonella caviae
Streptomyces beijiangensis
Asparagus officinalis
Anabarilius grahami
Haloarcula californiae ATCC 33799
Sphingorhabdus soli
Eubucco bourcierii
Perna viridis
Ileibacterium valens
Trachemys scripta elegans
Staphylococcus pseudoxylosus
Flavivirga aquimarina
Vibrio hyugaensis
Phlebia tremellosa
Metschnikowia henanensis
Naganishia diffluens
Nocardia bovistercoris
Eretmocerus eremicus
Viviania marifolia
Dyspetes luteomarginatus
Nicoliella lavandulae
Melanorivulus parnaibensis
Fusarium liriodendri
Lumbricus terrestris
Leptonema lineaticorne
Aminipila butyrica
Candidatus Vesicomyosocius okutanii
Thermoanaerobacterium xylanolyticum LX-11
Trametes elegans
Ninia diademata
Ceratina calcarata
Aureobasidium pullulans EXF-150
Phalloceros leptokeras
Corynebacterium suicordis
Dipetalonema caudispina
Vreelandella lutescens
Opsariichthys bidens
Circus macrourus
Winogradskyella endarachnes
Rhizobium tumorigenes
Paraburkholderia lycopersici
Bactericera cockerelli
Dromius quadrimaculatus
Pseudastur occidentalis
Halorubrum persicum
Bartonella choladocola
Apilactobacillus bombintestini
Bipolaris oryzae ATCC 44560
Dittrichia graveolens
Paratrypanosoma confusum
Philophylla caesio
Photorhabdus laumondii subsp. laumondii
Wolbachia endosymbiont (group A) of Longitarsus flavicornis
Lachnobacterium bovis DSM 14045
Eptatretus okinoseanus
Leptospira kirschneri serovar Cynopteri str. 3522 CT
Pseudactinotalea terrae
Parastrongyloides trichosuri
Halomicrococcus gelatinilyticus
Torymus geranii
Thermobifida fusca YX
Diaporthe capsici
Juglans hindsii
Senimuribacter intestinalis
Xanthomonas citri pv. citri
Chitiniphilus eburneus
Endozoicomonas numazuensis
Buteo hemilasius
Botrimarina hoheduenensis
Pseudodesulfovibrio indicus
Synaphobranchus kaupii
Argentina anserina
Paenibacillus foliorum
Urinicoccus massiliensis
Aquisalinus luteolus
Ophisaurus attenuatus
Anatoma sagamiana
Gallotia galloti
Alteromonas oceani
Psychrobacter phenylpyruvicus
Mangrovitalea sediminis
Flavobacterium palustre
Gluconobacter kondonii
Sugiyamaella boreocaroliniensis
Sporolactobacillus laevolacticus DSM 442
Cyprinella venusta
Erebia gorge
Curruca cantillans
Pusillimonas noertemannii
Agrobacterium cucumeris
Alkalibaculum bacchi
Spirochaeta africana DSM 8902
Megamonas rupellensis DSM 19944
Aotus vociferans
Leptospira bouyouniensis
Liquorilactobacillus vini DSM 20605
Mixornis gularis
Chalciporus piperatoides
Entamoeba dispar SAW760
Umbilicaria hispanica
Empedobacter sedimenti
Apodemia zela
Streptomyces thermocarboxydovorans
Pseudomonas parasichuanensis
Pyrausta cingulata
Callinectes sapidus
Nectonema munidae
Clostridium transplantifaecale
Dendrelaphis schokari
Flagellimonas lutaonensis
Panicum virgatum
Chiropotes sagulatus
Streptomyces actuosus
Sporosarcina newyorkensis
Nomophila noctuella
Vireo solitarius
Lonsdalea quercina
Blautia wexlerae DSM 19850
Jejuia pallidilutea
Moraxella cuniculi
Mycobacterium marseillense
Coprothermobacter platensis DSM 11748
Actinomycetospora atypica
Papiliotrema flavescens NRRL Y-50378
Timema podura
Pachycereus pringlei
Sphingopyxis panaciterrulae
Wolbachia endosymbiont (group B) of Gerris lacustris
Bifidobacterium bohemicum DSM 22767
Microvirga antarctica
Sclerotinia glacialis
Fusarium neocosmosporiellum
Streptomyces iconiensis
Holtermannia corniformis
Campylobacter magnus
Litoribacterium kuwaitense
Sphingomonas ginsenosidivorax
Alysiella crassa
Sclerophora amabilis
Xenorhabdus innexi
Wolbachia endosymbiont (group B) of Hofmannophila pseudospretella
Cellulomonas chengniuliangii
Taenia saginata
Blautia glucerasea
Sphingobium fuliginis
Oceanisphaera sediminis
Fundidesulfovibrio magnetotacticus
Lichina pygmaea
Cohaesibacter intestini
Volvox reticuliferus
Argiope bruennichi
Mycteria ibis
Hordeum pubiflorum
Sebastes atrovirens
Cardinium endosymbiont of Dermatophagoides farinae
Tolypocladium cylindrosporum
Leuconostoc carnosum
Flavobacterium humidisoli
Hippotragus niger niger
Trametes gibbosa
Brevibacterium samyangense
Candidula unifasciata
Allobranchiibius huperziae
Pseudomonas kulmbachensis
Pseudomimeciton antennatum
Paractinoplanes deccanensis
Kineosporia rhizophila
Candidatus Planktophila limnetica
Leishmania gerbilli
Crithidia bombi
Apodemia murphyi
Piruna pirus
Aureimonas psammosilenae
Stillingia texana
Coluber constrictor foxii
Barnettozyma populi
Larkinella soli
Penicillium citrinum
Paragyromitra xinjiangensis
Buttiauxella ferragutiae
Solanum bukasovii
Nocardia caishijiensis
Desulfuromonas acetexigens
Saxicola rubetra
Dyella flagellata
Streptococcus intermedius
Prietella phreatophila
Ramphastos tucanus
Heliobacterium chlorum
Xenorhabdus cabanillasii
Agathobaculum desmolans ATCC 43058
Monopis laevigella
Streptomyces violaceus
Actinoplanes awajinensis subsp. mycoplanecinus
Flavobacterium crocinum
Roseovarius nitratireducens
Paenibacillus zeirhizosphaerae
Sphingomonas sanxanigenens DSM 19645 = NX02
Thalassotalea psychrophila
Skeletonema marinoi
Ureibacillus chungkukjangi
Laceyella putida
Felis nigripes
Jeotgalibaca arthritidis
Dryas drummondii
Hewitsoniella migonitis
Agathobaculum faecis
Shiraia bambusicola
Terrisporobacter othiniensis
Albula glossodonta
Rhopalosiphum maidis
Ptychographa xylographoides
Devosia salina
Paradevosia shaoguanensis
Leucopleurus acutus
Cecropterus casica
Eremothecium coryli CBS 5749
Macrococcoides canis
Pyrrhura lucianii
Thladiantha medogensis
Mucilaginibacter pedocola
Brenneria goodwinii
Fortiea contorta PCC 7126
Lepidium apetalum
Thiococcus pfennigii
Pedobacter roseus
Shewanella oncorhynchi
Poa arachnifera
Andricus quercuspetiolicola
Calanus finmarchicus
Mycolicibacterium fluoranthenivorans
Sporomusa acidovorans DSM 3132
Brevibacillus ruminantium
Lapidilactobacillus wuchangensis
Anopheles vaneedeni
Kwoniella heveanensis BCC8398
Hohenbuehelia grisea
Pelagibacterium lacus
Pseudarthrobacter sulfonivorans
Sporothrix bragantina
Panulirus guttatus
Wolbachia endosymbiont (group B) of Chesias legatella
Wolbachia endosymbiont (group A) of Portevinia maculata
Mesorhizobium comanense
Ascosphaera acerosa
[Mycobacterium] bulgaricum
Marinicella litoralis
Eucalyptus urophylla
Pyrrhura viridicata
Effusibacillus lacus
Spartinivicinus ruber
Crotophaga sulcirostris
Exidia glandulosa HHB12029
Larkinella bovis
Tenacibaculum retecalamus
Halapricum salinum
Mycobacterium hackensackense
Paenibacillus pinisoli
Silene conica
Schwanniomyces occidentalis var. occidentalis
Rhizobium vallis
Streptomyces incanus
Edwardzetes edwardsi
Paenibacillus oryzae
Zoogloea ramigera
Bombiscardovia coagulans
Erwinia rhapontici
Cataglyphis cursor
Lacticaseibacillus hulanensis
Mycobacterium rhizamassiliense
Hypericibacter adhaerens
Candidatus Viridilinea mediisalina
Lysobacter spongiicola DSM 21749
Scaptomyza montana
Solanum lycopersicoides
Spiroplasma syrphidicola EA-1
Anaeromyxobacter paludicola
Cellulophaga tyrosinoxydans
Morus alba
Trioceros harennae
Ruegeria denitrificans
Halobacillus naozhouensis
Pontibacter flavimaris
Vreelandella titanicae
Emesis fastidiosa
Dimorphilus gyrociliatus
Internoretia fryeana
Bradyrhizobium pachyrhizi
Phymanthus crucifer
Rhizobium helianthi
Pagetopsis macropterus
Natronobacterium texcoconense
Vallitalea guaymasensis
Thalassospira lucentensis MCCC 1A00383 = DSM 14000
Emticicia agri
Citreicoccus inhibens
Adlercreutzia wanghongyangiae
Aronia arbutifolia
Methanosarcina flavescens
Stagonosporopsis cucurbitacearum
Flavobacterium cupriresistens
Proteus myxofaciens ATCC 19692
Thermoflexibacter ruber
Flavobacterium pisciphilum
Aureobasidium leucospermi
Sphingosinicella xenopeptidilytica
Sinorhizobium glycinis
Natranaerobius thermophilus JW/NM-WN-LF
Hirschia baltica ATCC 49814
Cyberlindnera maritima
Paenibacillus soyae
Leiocassis longirostris
Pseudodesulfovibrio methanolicus
Maridesulfovibrio bastinii DSM 16055
Nettapus auritus
Rhyacionia pinicolana
Algibacter pacificus
Linum usitatissimum
Udeniomyces pyricola
Leuconostoc pseudomesenteroides
Lentibacillus jeotgali
Petrotoga mobilis SJ95
Wolbachia endosymbiont (group B) of Ochlodes sylvanus
Pedobacter ginsengisoli
Phaeospirillum tilakii
Buathra laborator
Thaleichthys pacificus
Metalysinibacillus jejuensis
Bartonella taylorii
Hypoxylon rubiginosum
Thermoflexus hugenholtzii JAD2
Pseudophaeobacter arcticus DSM 23566
Allolobophora icterica
Hyphodiscus hymeniophilus
Streptomyces phyllanthi
Ideonella benzenivorans
Meriones psammophilus
Promicromonospora alba
Acanthothecis fontana
Sphenella marginata
Ornithinimicrobium avium
Fusarium flagelliforme
Falco berigora
Spartinivicinus poritis
Prosopis alba
Agromyces tardus
Pseudomugil signifer
Topomyia yanbarensis
Paenibacillus brasilensis
Wickerhamiella australiensis
Ramphastos swainsonii
Nocardioides endophyticus
Nestor notabilis
Whitmania laevis
Mirounga leonina
Orchestia grillus
Nephotettix cincticeps
Jannaschia formosa
Pasadenomyces melaninifex
Nocardia asiatica NBRC 100129
Macrococcus carouselicus
Gracilibacillus saliphilus
Rhodanobacter soli
Schistocerca nitens
Ajuga chamaepitys
Rhizobium populisoli
Qaidamihabitans albus
Rhodomyrtus tomentosa
Sporobolomyces pararoseus
Carnimonas nigrificans ATCC BAA-78
Botia almorhae
Fusarium subglutinans
Drosophila niveifrons
Pestalotiopsis fici W106-1
Protomyces pachydermus
Massilia atriviolacea
Proteiniphilum saccharofermentans
Collichthys lucidus
Cryptomeria japonica
Schizonepeta tenuifolia
Tilletia setariae
Paraphotobacterium marinum
Alkalihalobacillus macyae
Desulfovermiculus halophilus DSM 18834
Sciurus carolinensis
Zanthoxylum armatum
Ctenoplectra terminalis
Flammeovirga pectinis
Euphonia sclateri
Inonotus hispidus
Vreelandella zhaodongensis
Anaerosporobacter mobilis DSM 15930
Actinomadura yumaensis
Streptomyces rhizoryzae
Actinokineospora diospyrosa
Vibrio nitrifigilis
Teratosphaeria zuluensis
Leyella stercorea DSM 18206
Gallibacterium salpingitidis
Ericerus pela
Halonotius aquaticus
Podospora conica
Panopea generosa
Pantoea eucrina
Flavobacterium cupreum
Geomonas propionica
Anopheles marshallii
Pseudoalteromonas telluritireducens
Humisphaera borealis
Sarocladium attenuatum
Streptomyces fagopyri
Phycis chesteri
Psychrobacter sanguinis
Xenotilapia singularis
Erynnis tages
Hyphopichia buzzinii
Papio hamadryas
Falsiroseomonas bella
Paracoccus maritimus
Trichophyton benhamiae CBS 112371
Actinomadura kijaniata NBRC 14229
Acropora selago
Aedes albopictus
Ogataea paraovalis
Psychromonas ossibalaenae ATCC BAA-1528
Oceanobacillus iheyensis HTE831
Pithecia mittermeieri
Meteorus pulchricornis
Stichodactyla helianthus
Sinomonas susongensis
Primorskyibacter flagellatus
Chitinophaga tropicalis
Sanghuangporus weigelae
Cyanodermella asteris
Isopterygiella pulchella
Pseudomonas salomonii
Dolichospermum circinale AWQC131C
Microbacterium galbinum
Sanguibacter biliveldensis
Trichophyton rubrum CBS 118892
Halomonas huangheensis
Colwellia psychrerythraea 34H
Candidatus Ruthia endofausta
Caloramator mitchellensis
Amycolatopsis sulphurea
Acinetobacter proteolyticus
Puccinia triticina
Paenibacillus residui
Periweissella beninensis
Arthrobacter antioxidans
Lobophora halterata
Jannaschia seohaensis
Agriades orbitulus
Potos flavus
Pectobacterium atrosepticum
Chitinivibrio alkaliphilus ACht1
Xanthoparmelia tasmanica
Tenacibaculum geojense
Roseiconus lacunae
Ruegeria arenilitoris
Aequorivita capsosiphonis DSM 23843
Gordonia soli NBRC 108243
Bulbothrix scortella
Xylocopa violacea
Acropora microphthalma
Candidatus Kryptonium thompsonii
Xylocarpus granatum
Agromyces mariniharenae
[Clostridium] colinum
Lodderomyces elongisporus
Fowleria aurita
Rodentibacter heidelbergensis
Sphingobacterium prati
Morchella semilibera
Thalassiosira gravida
Emesis satema
Ateles paniscus
Leisingera aquimarina DSM 24565
Gloeobacter violaceus PCC 7421
Bodo saltans
Paracoccus aeridis
Candidatus Pantoea floridensis
Pseudoalteromonas piscicida
Sarota myrtea
Cervus elaphus
Fusarium veterinarium
Thermobifida halotolerans
Liquorilactobacillus ghanensis DSM 18630
Nitrobacter winogradskyi Nb-255
Brevundimonas halotolerans
Botrytis hyacinthi
Brassica juncea
Futiania mangrovi
Heliconius erato x Heliconius himera
Noviherbaspirillum sedimenti
Alcanivorax quisquiliarum
Thorsellia kenyensis
Sphingomonas palmae
Seohaeicola zhoushanensis
Pseudomonas quebecensis
Paenibacillus hunanensis
Amycolatopsis azurea DSM 43854
Usnea halei
Sphingomonas gei
Lacerta viridis
Anastrepha fraterculus
Pollenia angustigena
Shewanella mangrovi
Tuber borchii
Kluyvera cryocrescens
Laothoe populi
Sepietta obscura
Eulemur sanfordi
Nocardia beijingensis NBRC 16342
Parabramis pekinensis
Lentzea miocenica
Roseibaca calidilacus
Sphingobium algorifonticola
Belliella aquatica
Paludibacter jiangxiensis
Bradyrhizobium lablabi
Myotis daubentonii
Roseivirga spongicola
Phytophthora pluvialis
Georgenia yuyongxinii
Fagus sylvatica
Penicillium rubens
Paraburkholderia lacunae
Malthinus flaveolus
Paenibacillus glycinis
Roseisolibacter agri
Turdus rufiventris
Alkalihalobacillus trypoxylicola NBRC 102646
Bradyrhizobium elkanii USDA 76
Mycena polygramma
Poa chaixii
Kribbella hippodromi
Alauda arvensis
Albophoma yamanashiensis
Tianweitania aestuarii
Pseudoglutamicibacter albus
Mycobacterium nebraskense
Sphingomonas chungangi
Amycolatopsis circi
Zooshikella harenae
Phyllastrephus albigularis
Acetobacter musti
Clostridium aestuarii
Gemmobacter caeni
Heliconius eleuchia
Eudocimus ruber
Pseudoduganella plicata
Nesterenkonia sedimenti
Rhizopogon villosulus
Streptomyces decoyicus
Actinokineospora guangxiensis
Mycobacterium szulgai
Pimpla rufipes
Acinetobacter terrae
Ambrosiella cleistominuta
Nibricoccus aquaticus
Bacteroides caccae CL03T12C61
Ehrlichia japonica
Carex depauperata
Sporolactobacillus kofuensis
Corynebacterium aurimucosum ATCC 700975
Haloglomus litoreum
Microbacterium insulae
Corynebacterium macclintockiae
Phytophthora cambivora
Actinobacillus porcitonsillarum
Andricus quercustozae
Tokudaia tokunoshimensis
Leifsonia naganoensis
Roseobacter cerasinus
Nakazawaea ambrosiae
Nocardioides sambongensis
Micromonospora trifolii
Spatula smithii
Charadrius hiaticula
Hylobates moloch
Williamsoniiplasma lucivorax ATCC 49196
Grus nigricollis
Ganoderma resinaceum
Porodaedalea pini
Phallusia mammillata
Mycobacterium gallinarum
Kaistia dalseonensis
Planococcus plakortidis
Gossypium arboreum
Micropterix aruncella
Halobacillus faecis
Phlebotomus perniciosus
Streptomyces physcomitrii
Wolbachia endosymbiont of Armadillidium vulgare str. wVulC
Pantherophis vulpinus
Mesoplasma florum L1
Shinella sedimenti
Necrosyrtes monachus
Aciculoconidium aculeatum
Ambrosiozyma vanderkliftii
Erythranthe guttata
Novosphingobium kunmingense
Lepidocyrtus fimetarius
Ostorhinchus angustatus
Curvibacter cyanobacteriorum
Eshraghiella crossota
Raillietiella orientalis
Sphingobacterium lumbrici
Galerina sulciceps
Microctenopoma lineatum
Wolbachia endosymbiont (group B) of Catoptria pinella
Capnocytophaga felis
Loriculus philippensis
Anhinga rufa
Hymenobacter ginsengisoli
Mycobacterium gordonae
Emericellopsis terricola
Catenulispora pinisilvae
Aporophyla nigra
Ruegeria marina
Agrobacterium burrii
Prevotella lacticifex
Ancylomarina subtilis
Apodemia mejicanus
Limnochorda pilosa
Tolypocladium endophyticum
Protomyctophum bolini
Hypocrella siamensis
Haloprofundus salinisoli
Lichenibacterium ramalinae
Drosophila kambysellisi
Nymphalis io
Heterodera trifolii
Ornithinicoccus halotolerans
Nocardia mexicana
Pholiota molesta
Odocoileus hemionus
Varibaculum cambriense DSM 15806
Drosera spatulata
Mycoplasmopsis arginini
Flavobacterium cerinum
Cercopithecus ascanius
Eufriesea mexicana
Microbacterium paulum
Erythroxylum bequaertii
Brevibacterium litoralis
Gracilibacillus lacisalsi DSM 19029
Staphylococcus debuckii
Kitasatospora putterlickiae
Psychroflexus torquis ATCC 700755
Meristemomyces frigidus
Thermodesulfobacterium hveragerdense DSM 12571
Hyles lineata
Circus hudsonius
Albimonas donghaensis
Campylobacter volucris
Batrachocephalus mino
Oceanibaculum nanhaiense
Leishmania aethiopica
Oidiodendron maius Zn
Rummeliibacillus pycnus
Acalypha hispida
Mychonastes homosphaera
Escovopsis weberi
Electrophorus voltai
Geotrichum fermentans
Stictocephala bisonia
Gilvimarinus agarilyticus
Streptococcus pseudoporcinus
Puccinia graminis f. sp. tritici CRL 75-36-700-3
Stylopage hadra
Deinococcus gobiensis I-0
Astrospartus mediterraneus
Haloplanus salinus
Caenimonas terrae
Rubrivivax benzoatilyticus JA2 = ATCC BAA-35
Harrya chromipes
Liquorilactobacillus aquaticus DSM 21051
Arcanobacterium hippocoleae
Flavobacterium gillisiae
Dichelobacter nodosus VCS1703A
Dactylonectria macrodidyma
Aeromonas eucrenophila
Dubosiella muris
Hymenobacter translucens
Labrys okinawensis
Sporopachydermia lactativora
Cephaloticoccus primus
Profundibacterium mesophilum KAUST100406-0324
Agromyces fucosus
Paecilomyces fulvus
Nakazawaea laoshanensis
Vibrio tritonius
Amphiesma stolatum
Bartonella birtlesii LL-WM9
Actinomadura geliboluensis
Clostridium polyendosporum
Enterococcus larvae
Aplochiton taeniatus
Saccharopolyspora halophila
Annulohypoxylon stygium
Defluviitalea saccharophila
Tylopilus plumbeoviolaceoides
Actinomadura luzonensis
Aquibium carbonis
Solaster endeca
Agilicoccus flavus
Geotria australis
Scopulibacillus darangshiensis
Rissa tridactyla
Sinella curviseta
Fusobacterium perfoetens ATCC 29250
Enoploplastron triloricatum
Actinomadura spongiicola
Desulfovibrio subterraneus
Rhagio lineola
Alcanivorax sediminis
Cloeon dipterum
Polypterus senegalus
Basidiobolus meristosporus CBS 931.73
Mucilaginibacter galii
Volucribacter amazonae
Melanotaenia maccullochi
Aestuariivivens sediminicola
Penicillium freii
Rhizobium lemnae
Halalkalibacter hemicellulosilyticusJCM 9152
Ectobius pallidus
Oceanobacillus salinisoli
Deinococcus reticulitermitis
Xanthobacter autotrophicus
Heliconius clysonymus
Hydnotrya cubispora
Actinomyces bouchesdurhonensis
Xenorhabdus littoralis
Tylopilus subfusipes
Alicyclobacillus kakegawensis NBRC 103104
Gluconobacter oxydans DSM 3504
Saccharomonospora amisosensis
Mycobacterium avium subsp. hominissuis
Sphingomonas kyeonggiensis
Halobaculum saliterrae
Streptococcus massiliensis
Paraburkholderia ultramafica
Pseudomonas paralactis
Wolbachia endosymbiont (group A) of Cheilosia soror
Geminicoccus roseus DSM 18922
Sabuloglossum arenarium
Hapsidospora chrysogenum ATCC 11550
Natrialba taiwanensis DSM 12281
Aliiroseovarius sediminilitoris
Petralouisia muris
Rhizocarpon subgeminatum
Thiocapsa rosea
